service_id,date,exception_type
1,20221008,1
1,20221009,1
1,20221015,1
1,20221016,1
1,20221022,1
1,20221023,1
1,20221029,1
1,20221030,1
1,20221105,1
1,20221106,1
1,20221112,1
1,20221113,1
1,20221119,1
1,20221120,1
1,20221124,1
1,20221125,1
1,20221126,1
1,20221127,1
1,20221203,1
1,20221204,1
1,20221210,1
1,20221211,1
1,20221217,1
1,20221218,1
1,20221224,1
1,20221225,1
1,20221226,1
1,20221231,1
1,20230101,1
1,20230102,1
1,20230107,1
1,20230108,1
1,20230114,1
1,20230115,1
1,20230116,1
1,20230121,1
1,20230122,1
1,20230128,1
1,20230129,1
1,20230204,1
1,20230205,1
1,20230211,1
1,20230212,1
1,20230218,1
1,20230219,1
1,20230220,1
1,20230225,1
2,20221006,1
2,20221007,1
2,20221010,1
2,20221011,1
2,20221012,1
2,20221013,1
2,20221014,1
2,20221017,1
2,20221018,1
2,20221019,1
2,20221020,1
2,20221021,1
2,20221024,1
2,20221025,1
2,20221026,1
2,20221027,1
2,20221028,1
2,20221031,1
2,20221101,1
2,20221102,1
2,20221103,1
2,20221104,1
2,20221107,1
2,20221108,1
2,20221109,1
2,20221110,1
2,20221111,1
2,20221114,1
2,20221115,1
2,20221116,1
2,20221117,1
2,20221118,1
2,20221121,1
2,20221122,1
2,20221123,1
2,20221128,1
2,20221129,1
2,20221130,1
2,20221201,1
2,20221202,1
2,20221205,1
2,20221206,1
2,20221207,1
2,20221208,1
2,20221209,1
2,20221212,1
2,20221213,1
2,20221214,1
2,20221215,1
2,20221216,1
2,20221219,1
2,20221220,1
2,20221221,1
2,20221222,1
2,20221223,1
2,20221227,1
2,20221228,1
2,20221229,1
2,20221230,1
2,20230103,1
2,20230104,1
2,20230105,1
2,20230106,1
2,20230109,1
2,20230110,1
2,20230111,1
2,20230112,1
2,20230113,1
2,20230117,1
2,20230118,1
2,20230119,1
2,20230120,1
2,20230123,1
2,20230124,1
2,20230125,1
2,20230126,1
2,20230127,1
2,20230130,1
2,20230131,1
2,20230201,1
2,20230202,1
2,20230203,1
2,20230206,1
2,20230207,1
2,20230208,1
2,20230209,1
2,20230210,1
2,20230213,1
2,20230214,1
2,20230215,1
2,20230216,1
2,20230217,1
2,20230221,1
2,20230222,1
2,20230223,1
2,20230224,1
3,20221006,1
3,20221007,1
3,20221010,1
3,20221011,1
3,20221012,1
3,20221013,1
3,20221014,1
3,20221017,1
3,20221018,1
3,20221019,1
3,20221020,1
3,20221021,1
3,20221024,1
3,20221025,1
3,20221026,1
3,20221027,1
3,20221028,1
3,20221031,1
3,20221101,1
3,20221102,1
3,20221103,1
3,20221104,1
3,20221107,1
3,20221108,1
3,20221109,1
3,20221110,1
3,20221111,1
4,20221116,1
5,20221008,1
5,20221009,1
5,20221015,1
5,20221016,1
5,20221022,1
5,20221023,1
5,20221029,1
5,20221030,1
5,20221105,1
5,20221106,1
6,20221008,1
6,20221009,1
6,20221015,1
6,20221016,1
6,20221022,1
6,20221023,1
6,20221029,1
6,20221030,1
6,20221105,1
6,20221106,1
6,20221112,1
7,20221115,1
8,20221115,1
8,20221116,1
9,20221008,1
9,20221015,1
9,20221022,1
9,20221029,1
9,20221105,1
9,20221112,1
9,20221119,1
9,20221126,1
9,20221203,1
9,20221210,1
9,20221217,1
9,20221224,1
9,20221231,1
9,20230107,1
9,20230114,1
9,20230121,1
9,20230128,1
9,20230204,1
9,20230211,1
9,20230218,1
9,20230225,1
9,20230304,1
9,20230311,1
9,20230318,1
9,20230325,1
9,20230401,1
10,20221009,1
10,20221016,1
10,20221023,1
10,20221030,1
10,20221106,1
10,20221113,1
10,20221120,1
10,20221127,1
10,20221204,1
10,20221211,1
10,20221218,1
10,20221225,1
10,20230101,1
10,20230108,1
10,20230115,1
10,20230122,1
10,20230129,1
10,20230205,1
10,20230212,1
10,20230219,1
10,20230226,1
10,20230305,1
10,20230312,1
10,20230319,1
10,20230326,1
10,20230402,1
11,20221006,1
11,20221007,1
11,20221010,1
11,20221011,1
11,20221012,1
11,20221013,1
11,20221014,1
11,20221017,1
11,20221018,1
11,20221019,1
11,20221020,1
11,20221021,1
11,20221024,1
11,20221025,1
11,20221026,1
11,20221027,1
11,20221028,1
11,20221031,1
11,20221101,1
11,20221102,1
11,20221103,1
11,20221104,1
11,20221107,1
11,20221108,1
11,20221109,1
11,20221110,1
11,20221111,1
11,20221114,1
11,20221115,1
11,20221116,1
11,20221117,1
11,20221118,1
11,20221121,1
11,20221122,1
11,20221123,1
11,20221124,1
11,20221125,1
11,20221128,1
11,20221129,1
11,20221130,1
11,20221201,1
11,20221202,1
11,20221205,1
11,20221206,1
11,20221207,1
11,20221208,1
11,20221209,1
11,20221212,1
11,20221213,1
11,20221214,1
11,20221215,1
11,20221216,1
11,20221219,1
11,20221220,1
11,20221221,1
11,20221222,1
11,20221223,1
11,20221226,1
11,20221227,1
11,20221228,1
11,20221229,1
11,20221230,1
11,20230102,1
11,20230103,1
11,20230104,1
11,20230105,1
11,20230106,1
11,20230109,1
11,20230110,1
11,20230111,1
11,20230112,1
11,20230113,1
11,20230116,1
11,20230117,1
11,20230118,1
11,20230119,1
11,20230120,1
11,20230123,1
11,20230124,1
11,20230125,1
11,20230126,1
11,20230127,1
11,20230130,1
11,20230131,1
11,20230201,1
11,20230202,1
11,20230203,1
11,20230206,1
11,20230207,1
11,20230208,1
11,20230209,1
11,20230210,1
11,20230213,1
11,20230214,1
11,20230215,1
11,20230216,1
11,20230217,1
11,20230220,1
11,20230221,1
11,20230222,1
11,20230223,1
11,20230224,1
11,20230227,1
11,20230228,1
11,20230301,1
11,20230302,1
11,20230303,1
11,20230306,1
11,20230307,1
11,20230308,1
11,20230309,1
11,20230310,1
11,20230313,1
11,20230314,1
11,20230315,1
11,20230316,1
11,20230317,1
11,20230320,1
11,20230321,1
11,20230322,1
11,20230323,1
11,20230324,1
11,20230327,1
11,20230328,1
11,20230329,1
11,20230330,1
11,20230331,1
11,20230403,1
12,20221007,1
12,20221008,1
12,20221014,1
12,20221015,1
12,20221021,1
12,20221022,1
12,20221028,1
12,20221029,1
12,20221104,1
12,20221105,1
12,20221111,1
13,20221006,1
13,20221009,1
13,20221010,1
13,20221011,1
13,20221012,1
13,20221013,1
13,20221016,1
13,20221017,1
13,20221018,1
13,20221019,1
13,20221020,1
13,20221023,1
13,20221024,1
13,20221025,1
13,20221026,1
13,20221027,1
13,20221030,1
13,20221031,1
13,20221101,1
13,20221102,1
13,20221103,1
13,20221106,1
13,20221107,1
13,20221108,1
13,20221109,1
13,20221110,1
14,20221008,1
14,20221009,1
14,20221015,1
14,20221016,1
14,20221022,1
14,20221023,1
14,20221030,1
14,20221105,1
14,20221106,1
14,20221112,1
14,20221113,1
15,20221006,1
15,20221010,1
15,20221011,1
15,20221012,1
15,20221013,1
15,20221017,1
15,20221018,1
15,20221019,1
15,20221020,1
15,20221024,1
15,20221025,1
15,20221026,1
15,20221027,1
15,20221031,1
15,20221101,1
15,20221102,1
15,20221103,1
15,20221107,1
15,20221108,1
15,20221109,1
15,20221110,1
16,20221007,1
16,20221008,1
16,20221014,1
16,20221015,1
16,20221021,1
16,20221022,1
16,20221028,1
16,20221029,1
16,20221104,1
16,20221105,1
16,20221106,1
16,20221111,1
16,20221112,1
17,20221009,1
17,20221016,1
17,20221023,1
17,20221030,1
17,20221106,1
18,20221006,1
18,20221007,1
18,20221010,1
18,20221011,1
18,20221012,1
18,20221013,1
18,20221014,1
18,20221017,1
18,20221018,1
18,20221019,1
18,20221020,1
18,20221021,1
18,20221024,1
18,20221025,1
18,20221026,1
18,20221027,1
18,20221028,1
18,20221031,1
18,20221101,1
18,20221102,1
18,20221103,1
18,20221104,1
18,20221107,1
18,20221108,1
18,20221109,1
18,20221110,1
18,20221111,1
18,20221114,1
18,20221117,1
18,20221118,1
18,20221121,1
18,20221122,1
18,20221123,1
18,20221125,1
18,20221128,1
18,20221129,1
18,20221130,1
18,20221201,1
18,20221202,1
18,20221205,1
18,20221206,1
18,20221207,1
18,20221208,1
18,20221209,1
18,20221212,1
18,20221213,1
18,20221214,1
18,20221215,1
18,20221216,1
18,20221219,1
18,20221220,1
18,20221221,1
18,20221222,1
18,20221223,1
18,20221227,1
18,20221228,1
18,20221229,1
18,20221230,1
18,20230102,1
18,20230103,1
18,20230104,1
18,20230105,1
18,20230106,1
18,20230109,1
18,20230110,1
18,20230111,1
18,20230112,1
18,20230113,1
18,20230117,1
18,20230118,1
18,20230119,1
18,20230120,1
18,20230123,1
18,20230124,1
18,20230125,1
18,20230126,1
18,20230127,1
18,20230130,1
18,20230131,1
18,20230201,1
18,20230202,1
18,20230203,1
18,20230206,1
18,20230207,1
18,20230208,1
18,20230209,1
18,20230210,1
18,20230213,1
18,20230214,1
18,20230215,1
18,20230216,1
18,20230217,1
18,20230221,1
18,20230222,1
18,20230223,1
18,20230224,1
18,20230227,1
18,20230228,1
19,20221024,1
19,20221025,1
19,20221026,1
19,20221027,1
19,20221028,1
19,20221031,1
19,20221101,1
19,20221102,1
19,20221103,1
19,20221104,1
19,20221107,1
19,20221108,1
19,20221109,1
19,20221110,1
19,20221111,1
20,20221006,1
20,20221007,1
20,20221010,1
20,20221011,1
20,20221012,1
20,20221013,1
20,20221014,1
20,20221017,1
20,20221018,1
20,20221019,1
20,20221020,1
20,20221021,1
21,20221007,1
21,20221008,1
21,20221009,1
21,20221014,1
21,20221015,1
21,20221016,1
21,20221021,1
21,20221022,1
21,20221023,1
21,20221028,1
21,20221029,1
21,20221030,1
21,20221104,1
21,20221105,1
21,20221106,1
21,20221111,1
22,20221006,1
22,20221007,1
22,20221010,1
22,20221011,1
22,20221012,1
22,20221013,1
22,20221014,1
22,20221017,1
22,20221018,1
22,20221019,1
22,20221020,1
22,20221021,1
22,20221024,1
22,20221025,1
22,20221026,1
22,20221027,1
22,20221028,1
22,20221031,1
22,20221101,1
22,20221102,1
22,20221103,1
22,20221104,1
22,20221107,1
22,20221108,1
22,20221109,1
22,20221110,1
22,20221111,1
22,20221114,1
22,20221117,1
22,20221118,1
22,20221121,1
22,20221122,1
22,20221123,1
22,20221128,1
22,20221129,1
22,20221130,1
22,20221201,1
22,20221202,1
22,20221205,1
22,20221206,1
22,20221207,1
22,20221208,1
22,20221209,1
22,20221212,1
22,20221213,1
22,20221214,1
22,20221215,1
22,20221216,1
22,20221219,1
22,20221220,1
22,20221221,1
22,20221222,1
22,20221223,1
22,20221227,1
22,20221228,1
22,20221229,1
22,20221230,1
23,20221009,1
23,20221016,1
